ID,group,brsi_all,pre_mood,post_mood,diff_mood,pre_ci,pre_ci_all_1,pre_ci_all_2,pre_ci_all_3,pre_ci_all_4,post_ci_all,post_ci_all_1,post_ci_all_2,post_ci_all_3,post_ci_all_4,diff_ci
1,1,3,0.446296296296296,0.253636363636364,-0.192659932659933,1,2,0,1,1,1.5,2,1,2,1,0.5
2,1,1,0.703645833333333,0.766060596812855,0.0624147634795218,0,0,0,0,0,0,0,0,0,0,0
3,1,3,0.602083333333333,0.416363636363636,-0.185719696969697,0,0,0,0,0,0,0,0,0,0,0
4,1,2,0.693265007320644,0.525454545454546,-0.167810461866099,0.25,0,0,0,1,0,0,0,0,0,-0.25
5,2,0,0.692187494701809,0.640909090909091,-0.0512784037927184,0,0,0,0,0,0,0,0,0,0,0
6,2,1,0.598437494701809,0.63,0.0315625052981906,0.5,1,0,1,0,1.25,2,1,1,1,0.75
7,2,0,0.602720569539791,0.517727272727273,-0.0849932968125188,1.25,2,0,2,1,0.5,1,0,1,0,-0.75
8,2,0,0.401388883590698,0.508181818181818,0.10679293459112,1.25,2,0,2,1,1.5,2,1,1,2,0.25
9,2,0,0.411805550257365,0.763636363636364,0.351830813378999,2.25,2,3,3,1,1.25,2,0,2,1,-1
10,2,0,0.498611111111111,0.506363636363636,0.00775252525252523,0.75,1,0,0,2,0.75,1,0,0,2,0
11,2,0,0.692202729044834,0.606363636363636,-0.0858390926811979,1,2,0,0,2,1.25,2,0,1,2,0.25
12,1,3,0.802586627623231,0.549090909090909,-0.253495718532322,1,1,0,2,1,1.25,1,2,1,1,0.25
13,2,0,0.402083333333333,0.642727272727273,0.240643939393939,1.75,2,2,1,2,0.75,1,1,0,1,-1
14,2,0,0.506344558321132,0.579090909090909,0.0727463507697769,0.25,0,0,0,1,0.25,0,0,0,1,0
15,2,0,0.799415204678363,0.806363636363636,0.00694843168527381,0.75,2,0,0,1,1.75,2,1,1,3,1
16,2,0,0.652269399707174,0.720909090909091,0.0686396912019167,0.25,1,0,0,0,0.25,1,0,0,0,0
